StationID,endTime,rfd,tsoil,t2m,t60cm,t10m,rh,ws,wsmax,wdir,rain,dp
260,2021-09-12T23:45:00-05:00,0.59,26.23,22.04,20.87,22.18,92.5,2.04,3.89,85.5,0,20.77
260,2021-09-12T23:30:00-05:00,0.584,26.29,22.3,21.12,22.5,91.6,2.99,6.01,78.3,0,20.87
260,2021-09-12T23:15:00-05:00,0.585,26.35,22.66,21.64,22.67,90.8,2.89,4.54,90.2,0,21.08
260,2021-09-12T23:00:00-05:00,0.585,26.41,23.02,22.03,22.98,89,3.95,6.12,84.9,0,21.11
260,2021-09-12T22:45:00-05:00,0.586,26.47,23.24,22.29,23.2,88.4,4.79,10.51,88.4,0,21.22
260,2021-09-12T22:30:00-05:00,0.585,26.54,23.32,22.34,23.41,88.5,6.29,10.55,86.9,0,21.31
260,2021-09-12T22:15:00-05:00,0.585,26.6,23.62,22.55,23.6,87.2,5.15,7.74,109,0,21.37
260,2021-09-12T22:00:00-05:00,0.585,26.66,23.87,22.8,23.84,86.3,5.15,8.03,101.5,0,21.44
260,2021-09-12T21:45:00-05:00,0.585,26.73,24.24,23.25,24.26,84.2,5.61,7.99,75.2,0,21.41
260,2021-09-12T21:30:00-05:00,0.585,26.79,24.5,23.5,24.51,83.8,6.45,10.01,91.3,0,21.58
260,2021-09-12T21:15:00-05:00,0.587,26.86,24.53,23.45,24.65,84.2,6.86,12.63,88.9,0,21.69
260,2021-09-12T21:00:00-05:00,0.587,26.92,24.43,23.36,24.64,86.1,5.21,9.14,92.2,0,21.96
260,2021-09-12T20:45:00-05:00,0.593,26.97,24.95,23.82,24.93,83.6,4.62,7.16,95.7,0,21.98
260,2021-09-12T20:30:00-05:00,0.605,27.03,25.32,24.23,25.3,81.1,5.38,9.07,86.4,0,21.85
260,2021-09-12T20:15:00-05:00,0.636,27.09,25.58,24.45,25.68,79.9,5.97,9.29,79.7,0,21.86
260,2021-09-12T20:00:00-05:00,0.892,27.14,25.95,24.86,26.03,78.5,5.84,8.64,70.1,0,21.93
260,2021-09-12T19:45:00-05:00,2.555,27.19,26.31,25.22,26.42,78,5.95,9.72,68.48,0,22.17
260,2021-09-12T19:30:00-05:00,9.28,27.23,26.92,25.97,26.9,74.9,5.28,7.67,72.2,0,22.1
260,2021-09-12T19:15:00-05:00,19.03,27.26,27.52,26.67,27.46,71.5,6.26,9.58,70.9,0,21.91
260,2021-09-12T19:00:00-05:00,34.78,27.28,28.12,27.52,28.01,68.39,6.28,11.64,83.6,0,21.76
260,2021-09-12T18:45:00-05:00,83.6,27.3,28.94,28.79,28.63,64.5,9.45,15.87,82.2,0,21.58
260,2021-09-12T18:30:00-05:00,173.9,27.31,29.41,29.37,28.98,61.88,11.88,18.51,79.6,0,21.35
260,2021-09-12T18:15:00-05:00,213.2,27.31,29.72,29.76,29.13,64.34,12.97,19.23,86.3,0,22.28
260,2021-09-12T18:00:00-05:00,257.8,27.3,29.87,29.97,29.26,63.88,13.31,21.02,92.5,0,22.3
260,2021-09-12T17:45:00-05:00,303.7,27.28,29.97,30.21,29.32,63.08,13.02,18.68,91.9,0,22.19
260,2021-09-12T17:30:00-05:00,350.4,27.25,30.17,30.48,29.42,63.24,12.25,21.48,88.6,0,22.42
260,2021-09-12T17:15:00-05:00,399.1,27.21,30.14,30.41,29.35,63.37,13.78,20.45,74.1,0,22.42
260,2021-09-12T17:00:00-05:00,439.1,27.17,30.27,30.6,29.43,65.21,14.79,26.78,83.5,0,23.02
260,2021-09-12T16:45:00-05:00,479.7,27.11,30.36,30.74,29.47,65.92,13.16,20.92,69.93,0,23.28
260,2021-09-12T16:30:00-05:00,528.3,27.05,30.41,30.92,29.52,65.47,12.97,21.21,72.6,0,23.22
260,2021-09-12T16:15:00-05:00,521.1,26.98,30.24,30.45,29.44,65.07,13.84,21.45,80.4,0,22.96
260,2021-09-12T16:00:00-05:00,409.5,26.89,30.26,30.36,29.54,62.96,14.44,22.68,81.1,0,22.43
260,2021-09-12T15:45:00-05:00,465,26.8,30.32,30.46,29.61,63.05,13.34,23.05,75.2,0,22.51
260,2021-09-12T15:30:00-05:00,557.4,26.7,30.36,30.6,29.56,62.29,16.09,24.37,75,0,22.35
260,2021-09-12T15:15:00-05:00,557.7,26.58,30.38,30.59,29.56,62.29,15.45,26.31,83.9,0,22.37
260,2021-09-12T15:00:00-05:00,670.8,26.46,30.59,30.87,29.65,64.53,17.03,29.08,72.9,0,23.15
260,2021-09-12T14:45:00-05:00,615.3,26.33,30.44,30.72,29.53,65.43,15.92,24.94,81,0,23.24
260,2021-09-12T14:30:00-05:00,674.2,26.2,30.65,31.04,29.69,66.33,14.71,25.67,70.4,0,23.66
260,2021-09-12T14:15:00-05:00,830,26.08,30.76,31.41,29.62,68.41,13.66,22.47,76.1,0,24.28
260,2021-09-12T14:00:00-05:00,812,25.96,30.49,30.99,29.54,69.12,12.89,22.21,67.23,0,24.19
260,2021-09-12T13:45:00-05:00,478.6,25.83,30.02,30.19,29.24,69.03,13.34,25.88,76.9,0,23.72
