source,freq,x_pix,y_pix,amplitude,amplitude_error,x_mean,x_mean_error,y_mean,y_mean_error,x_mean_sky,x_mean_sky_error,y_mean_sky,y_mean_sky_error,ra_hms,dec_dms,SkyCoord,frame,header,delta_ra_ca3,delta_dec_ca3,delta_diff_ca3
d2,22 GHz,5219,4959,1.151771352e-02,1.917987152e-04,5.218615043e+03,3.887028644e-02,4.959186077e+03,4.536435585e-02,290.91590905701986,290.93836832949984,14.518002159502464,14.497338093899698,19:23:39.8182,14:31:04.8078,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91590906, 14.51800216)>",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.9168499983 14.51817221939 
CRPIX : 5001.0 5001.0 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -4.166666666667e-06 4.166666666667e-06 
NAXIS : 10000  10000",0.0011649422360164863,0.0002323229475482691,4.276376289939343
CB1,22 GHz,4979,5000,4.418660395e-04,2.246677133e-04,4.979243042e+03,6.90705741e-01,5.000031297e+03,9.478908986e-01,290.9169393384176,290.93836552456077,14.518172349777272,14.497341854682887,19:23:40.0654,14:31:05.4205,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91693934, 14.51817235)>",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.9168499983 14.51817221939 
CRPIX : 5001.0 5001.0 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -4.166666666667e-06 4.166666666667e-06 
NAXIS : 10000  10000",0.00013466083828461706,6.21326727401339e-05,0.5338935986186338
CA3,22 GHz,4948,5015,8.69973245e-04,6.988139620e-05,4.948413209e+03,1.426088778e-01,5.014913612e+03,2.229965868e-01,290.9170720333047,290.93836788311194,14.518234359335603,14.497338834074744,19:23:40.0973,14:31:05.6437,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91707203, 14.51823436)>",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.9168499983 14.51817221939 
CRPIX : 5001.0 5001.0 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -4.166666666667e-06 4.166666666667e-06 
NAXIS : 10000  10000",1.9659511849567934e-06,1.2311440933387985e-07,0.007091288388132703
CA1,22 GHz,4929,5023,6.131044792e-04,4.511103321e-05,4.929290048e+03,2.572806573e-01,5.023102075e+03,2.51185041e-01,290.9171543414592,290.9383673896104,14.518268477839683,14.497338951571626,19:23:40.1170,14:31:05.7665,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91715434, 14.51826848)>",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.9168499983 14.51817221939 
CRPIX : 5001.0 5001.0 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -4.166666666667e-06 4.166666666667e-06 
NAXIS : 10000  10000",-8.034220331865072e-05,-3.399538967130411e-05,0.31405860558639354
CC1,22 GHz,4939,4933,3.381155236e-04,1.007333922e-04,4.939095581e+03,4.048591057e-01,4.932569758e+03,4.387020824e-01,290.91711213695464,290.93836675455293,14.517891259902795,14.497339732950564,19:23:40.1069,14:31:04.4085,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91711214, 14.51789126)>",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.9168499983 14.51817221939 
CRPIX : 5001.0 5001.0 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -4.166666666667e-06 4.166666666667e-06 
NAXIS : 10000  10000",-3.81376987661497e-05,0.00034322254721708134,1.2432056807987386
d2,90 GHz,7628,7226,4.334628767e-02,6.406366511e-04,7.628300477e+03,6.352709685e-02,7.226089485e+03,6.643789566e-02,290.9159068196833,290.9312278246779,14.518009061679205,14.503958013333278,19:23:39.8176,14:31:04.8326,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91590682, 14.51800906)>",icrs,"WCS Keywords

Number of WCS axes: 4
CTYPE : 'RA---SIN' 'DEC--SIN' 'FREQ' 'STOKES' 
CRVAL : 290.9166666667 14.51805555557 92982344741.79 1.0 
CRPIX : 7251.0 7251.0 1.0 1.0 
PC1_1 PC1_2 PC1_3 PC1_4  : 1.0 0.0 0.0 0.0 
PC2_1 PC2_2 PC2_3 PC2_4  : 0.0 1.0 0.0 0.0 
PC3_1 PC3_2 PC3_3 PC3_4  : 0.0 0.0 1.0 0.0 
PC4_1 PC4_2 PC4_3 PC4_4  : 0.0 0.0 0.0 1.0 
CDELT : -1.944444444444e-06 1.944444444444e-06 15872420105.4 1.0 
NAXIS : 14500  14500  1  1",0.0011671795725760603,0.0002254207708070055,4.279494118936112
CB1,90 GHz,7115,7311,2.173482568e-03,8.966578428e-05,7.114766666e+03,1.873506309e-01,7.311140702e+03,2.105421575e-01,290.91693829396047,290.9312275760025,14.518174440112084,14.503958293551365,19:23:40.0652,14:31:05.4280,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91693829, 14.51817444)>",icrs,"WCS Keywords

Number of WCS axes: 4
CTYPE : 'RA---SIN' 'DEC--SIN' 'FREQ' 'STOKES' 
CRVAL : 290.9166666667 14.51805555557 92982344741.79 1.0 
CRPIX : 7251.0 7251.0 1.0 1.0 
PC1_1 PC1_2 PC1_3 PC1_4  : 1.0 0.0 0.0 0.0 
PC2_1 PC2_2 PC2_3 PC2_4  : 0.0 1.0 0.0 0.0 
PC3_1 PC3_2 PC3_3 PC3_4  : 0.0 0.0 1.0 0.0 
PC4_1 PC4_2 PC4_3 PC4_4  : 0.0 0.0 0.0 1.0 
CDELT : -1.944444444444e-06 1.944444444444e-06 15872420105.4 1.0 
NAXIS : 14500  14500  1  1",0.0001357052954062965,6.004233792822333e-05,0.5342211936134276
CA3,90 GHz,7047,7342,3.864660335e-03,9.373147247e-05,7.04720399e+03,8.854048944e-02,7.342019719e+03,9.496941747e-02,290.9170739992559,290.9312277744433,14.518234482450012,14.503958068814349,19:23:40.0978,14:31:05.6441,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.917074, 14.51823448)>",icrs,"WCS Keywords

Number of WCS axes: 4
CTYPE : 'RA---SIN' 'DEC--SIN' 'FREQ' 'STOKES' 
CRVAL : 290.9166666667 14.51805555557 92982344741.79 1.0 
CRPIX : 7251.0 7251.0 1.0 1.0 
PC1_1 PC1_2 PC1_3 PC1_4  : 1.0 0.0 0.0 0.0 
PC2_1 PC2_2 PC2_3 PC2_4  : 0.0 1.0 0.0 0.0 
PC3_1 PC3_2 PC3_3 PC3_4  : 0.0 0.0 1.0 0.0 
PC4_1 PC4_2 PC4_3 PC4_4  : 0.0 0.0 0.0 1.0 
CDELT : -1.944444444444e-06 1.944444444444e-06 15872420105.4 1.0 
NAXIS : 14500  14500  1  1",0.0,0.0,0.0
CA1,90 GHz,7008,7361,2.128559589e-03,6.407895672e-05,7.007404004e+03,1.244989264e-01,7.360686341e+03,1.227562253e-01,290.91715394089886,290.931227702226,14.518270778507995,14.503958122848696,19:23:40.1169,14:31:05.7748,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91715394, 14.51827078)>",icrs,"WCS Keywords

Number of WCS axes: 4
CTYPE : 'RA---SIN' 'DEC--SIN' 'FREQ' 'STOKES' 
CRVAL : 290.9166666667 14.51805555557 92982344741.79 1.0 
CRPIX : 7251.0 7251.0 1.0 1.0 
PC1_1 PC1_2 PC1_3 PC1_4  : 1.0 0.0 0.0 0.0 
PC2_1 PC2_2 PC2_3 PC2_4  : 0.0 1.0 0.0 0.0 
PC3_1 PC3_2 PC3_3 PC3_4  : 0.0 0.0 1.0 0.0 
PC4_1 PC4_2 PC4_3 PC4_4  : 0.0 0.0 0.0 1.0 
CDELT : -1.944444444444e-06 1.944444444444e-06 15872420105.4 1.0 
NAXIS : 14500  14500  1  1",-7.994164297997486e-05,-3.629605798316504e-05,0.3160642159318536
CC1,90 GHz,7028,7167,1.76969183e-03,1.845949664e-05,7.027847385e+03,3.562377766e-02,7.167033011e+03,3.648030928e-02,290.91711287791145,290.93122788071656,14.51789423044751,14.503957955078965,19:23:40.1071,14:31:04.4192,"<SkyCoord (ICRS): (ra, dec) in deg
    (290.91711288, 14.51789423)>",icrs,"WCS Keywords

Number of WCS axes: 4
CTYPE : 'RA---SIN' 'DEC--SIN' 'FREQ' 'STOKES' 
CRVAL : 290.9166666667 14.51805555557 92982344741.79 1.0 
CRPIX : 7251.0 7251.0 1.0 1.0 
PC1_1 PC1_2 PC1_3 PC1_4  : 1.0 0.0 0.0 0.0 
PC2_1 PC2_2 PC2_3 PC2_4  : 0.0 1.0 0.0 0.0 
PC3_1 PC3_2 PC3_3 PC3_4  : 0.0 0.0 1.0 0.0 
PC4_1 PC4_2 PC4_3 PC4_4  : 0.0 0.0 0.0 1.0 
CDELT : -1.944444444444e-06 1.944444444444e-06 15872420105.4 1.0 
NAXIS : 14500  14500  1  1",-3.887865557317127e-05,0.00034025200250198395,1.2328776731097877
