line,dec,ra,dec_error,ra_error,vlsr_kms,S
"(5, 3)",290.9158956,14.51800069,7.74E-07,7.74E-07,55.9858879225,0.46
"(5, 3)",290.915926,14.51800888,1.65E-06,1.65E-06,54.5774379119,0.0783
"(6, 2)",290.9159003,14.51801042,2.23E-06,2.35E-06,53.8952519440,0.039
"(6, 3)",290.9158939,14.51800111,7.1E-07,7.09E-07,55.2014609413,0.5065
"(6, 3)",290.9159262,14.51800959,9.25E-07,1E-06,53.6841035762,0.1418
"(7, 4)",290.9158986,14.51800816,1.51E-06,1.51E-06,54.0511881136,0.0468
"(7, 5)",290.9158982,14.51801105,7.28E-07,7.25E-07,53.7483780612,2.458
"(7, 6)",290.9170759,14.5182317,9.59E-07,9.53E-07,51.5238986239,0.2357
"(7, 6)",290.9170768,14.51823206,1.15E-06,1.15E-06,48.9084722979,0.2512
"(7, 6)",290.9170765,14.51823124,9.35E-07,9.27E-07,47.6007591348,0.3645
"(7, 7)",290.9170797,14.51823187,2.5E-06,2.5E-06,49.9203663095,0.0433
"(7, 7)",290.9170758,14.51823158,4.8E-07,4.8E-07,47.5887284623,0.5501
"(7, 7)",290.917076,14.5182316,7.26E-07,7.26E-07,46.4229095386,0.2278
"(8, 5)",290.9158985,14.51800926,1.03E-06,1.03E-06,54.3048368701,0.1123
"(9, 8)",290.9158975,14.51800925,1.25E-06,1.25E-06,54.1230120548,0.1758
"(11, 9)",290.9170756,14.51823135,7.16E-07,7.15E-07,47.5069724542,0.416
"(11, 9)",290.916824,14.51822272,1.82E-06,1.34E-06,61.7348767531,0.0834
"(11, 9)",290.9169891,14.51815923,3.27E-06,3.27E-06,60.3120863232,0.0376
