Transition,Date,Q_V_c,Q_V_c_error,,T_p,T_p_error,delta_V,delta_V_error,,W,W_error,M_V_c,M_V_c_error,,S_p,S_p_error,V_r_low,V_r_upp
"(7,3)",2020-01-08,60.72,0.9,,0.1,0.03,11.9,2.04,,1.17,0.17,54.03,0.13,,0.08,0.03,53.5,54.5
"(7,3)",2020-03-16,63.51,0.56,,0.13,0.03,11.34,1.17,,1.53,0.13,53.79,0.03,,0.23,0.02,53.2,54.4
"(7,3)",2020-04-01,59.68,0.69,,0.13,0.07,8.58,1.58,,1.27,0.2,53.89,0.03,,0.41,0.04,53.3,54.5
"(7,3)",2020-04-07,61,1.42,,0.03,0.07,7.98,3,,0.4,0.13,53.8,0.02,,0.14,0.03,50.4,54.2
"(10,7)",2020-04-01,,,,,,,,,,,54.08,0,,3.69,0.1,53.7,54.5
"(10,7)",2020-04-07,,,,,,,,,,,53.99,0.01,,1.36,0.08,53.5,54.5
"(6,1)",2020-01-08,62.91,,<,0.14,,,,<,0.53,,63.37,,<,0.07,,,
"(6,1)",2020-03-16,62.91,1.33,,0.06,0.05,13.69,4.29,,0.88,0.19,63.37,0.09,,0.11,0.02,62.8,64
"(6,1)",2020-04-01,61.92,1.49,,0.07,0.03,19.63,3.09,,1.53,0.22,64.47,0.1,,0.07,0.02,62.8,64
"(6,1)",2020-04-07,61.92,,<,0.12,,,,<,0.46,,64.47,,<,0.06,,,
"(9,6)",2020-01-08,,,,,,,,,,,51.43,0.4,,0.48,0.42,49.1,53.7
"(9,6)",2020-01-08,,,,,,,,,,,52.72,0.03,,2.31,0.42,51.7,53.7
"(9,6)",2020-01-08,,,,,,,,,,,54.26,0.01,,8.2,0.42,53.4,55.1
"(9,6)",2020-01-08,,,,,,,,,,,57.7,0.05,,0.56,0.42,56.9,58.5
"(9,6)",2020-01-08,,,,,,,,,,,59.8,0.05,,0.97,0.42,59.1,60.5
"(9,6)",2020-01-08,,,,,,,,,,,61.64,0.05,,2.49,0.42,60.3,62.9
"(9,6)",2020-01-08,,,,,,,,,,,63.45,0.05,,1.5,0.42,61.8,65.2
"(9,6)",2020-01-08,,,,,,,,,,,64.92,,<,1.26,,,
"(9,6)",2020-01-08,,,,,,,,,,,66.2,0.05,,0.42,0.42,65.9,66.5
"(9,6)",2020-01-08,,,,,,,,,,,72.56,,<,1.26,,,
"(9,6)",2020-03-16,,,,,,,,,,,50.85,0.26,,1.1,0.83,48.7,53.1
"(9,6)",2020-03-16,,,,,,,,,,,52.65,0.04,,3.41,0.83,51.7,53.6
"(9,6)",2020-03-16,,,,,,,,,,,54.18,0.01,,15.58,0.83,53.2,55
"(9,6)",2020-03-16,,,,,,,,,,,57.62,0.13,,0.85,0.83,57.1,58.1
"(9,6)",2020-03-16,,,,,,,,,,,59.43,0.16,,2.04,0.83,58.4,60.4
"(9,6)",2020-03-16,,,,,,,,,,,62.04,0.06,,5.26,0.83,59.3,64.7
"(9,6)",2020-03-16,,,,,,,,,,,63.29,0.06,,2.79,0.83,62.7,63.8
"(9,6)",2020-03-16,,,,,,,,,,,64.92,0.03,,4.63,0.83,64.1,65.7
"(9,6)",2020-03-16,,,,,,,,,,,65.98,0.03,,1.1,0.83,65.5,66.4
"(9,6)",2020-03-16,,,,,,,,,,,72.56,0.19,,1.52,0.83,70.3,74.8
"(9,6)",2020-04-01,,,,,,,,,,,50.86,0.16,,2.1,1.38,48.8,53
"(9,6)",2020-04-01,,,,,,,,,,,52.68,0.03,,5.7,1.38,51.8,53.6
"(9,6)",2020-04-01,,,,,,,,,,,54.27,0,,28.49,1.38,53.4,55.1
"(9,6)",2020-04-01,,,,,,,,,,,57.72,0.18,,1.65,1.38,57.1,58.3
"(9,6)",2020-04-01,,,,,,,,,,,59.83,0.07,,4.44,1.38,58.7,60.9
"(9,6)",2020-04-01,,,,,,,,,,,61.63,0.12,,7.83,1.38,60.5,62.7
"(9,6)",2020-04-01,,,,,,,,,,,62.87,0.46,,3.75,1.38,61.1,64.7
"(9,6)",2020-04-01,,,,,,,,,,,64.92,,<,4.14,,,
"(9,6)",2020-04-01,,,,,,,,,,,66.27,0.17,,0.75,1.38,65.8,66.8
"(9,6)",2020-04-01,,,,,,,,,,,72.56,,<,4.14,,,
"(9,6)",2020-04-07,,,,,,,,,,,50.86,0.05,,0.87,0.5,49.2,52.6
"(9,6)",2020-04-07,,,,,,,,,,,52.72,0.05,,1.79,0.5,51.8,53.6
"(9,6)",2020-04-07,,,,,,,,,,,54.41,0.05,,10.04,0.5,53.4,55.4
"(9,6)",2020-04-07,,,,,,,,,,,57.78,0.26,,0.37,0.5,57.2,58.4
"(9,6)",2020-04-07,,,,,,,,,,,59.95,0.09,,1.48,0.5,59,61
"(9,6)",2020-04-07,,,,,,,,,,,61.81,0.24,,2.45,0.5,60.4,63.2
"(9,6)",2020-04-07,,,,,,,,,,,63.2,0.5,,1.36,0.5,61.7,64.7
"(9,6)",2020-04-07,,,,,,,,,,,64.92,,<,1.5,,,
"(9,6)",2020-04-07,,,,,,,,,,,66.3,0.35,,0.36,0.5,65.7,66.9
"(9,6)",2020-04-07,,,,,,,,,,,72.56,,<,1.5,,,
"(6,2)",2020-01-08,60.68,,<,0.2,,,,<,0.87,,54.11,,<,0.1,,,
"(6,2)",2020-03-16,60.68,0.61,,0.13,0.03,8.74,1.23,,0.9,0.13,54.11,0.09,,0.08,0.02,53.4,54.8
"(6,2)",2020-04-01,62.25,0.95,,0.27,0.07,9.26,1.99,,1.43,0.3,56.58,0.12,,0.12,0.05,56,57.2
"(6,2)",2020-04-07,62.25,,<,0.2,,,,<,0.87,,56.58,,<,0.1,,,
"(7,4)",2020-01-08,61.86,0.09,,0.3,0.07,10.58,1.98,,1.7,0.3,,,,,,,
"(7,4)",2020-03-16,60.69,0.62,,0.33,0.07,10.62,1.33,,2.73,0.3,,,,,,,
"(7,4)",2020-04-01,57.96,1.34,,0.57,0.2,21.14,3.09,,3.63,0.3,,,,,,,
"(7,4)",2020-04-07,59.82,1.6,,0.44,0.03,17.89,3.39,,1.47,0.26,,,,,,,
"(6,3)",2020-01-08,62.37,1.31,,0.67,0.2,20.18,2.48,,1.57,0.4,53.77,,<,0.3,,,
"(6,3)",2020-01-08,,,,,,,,,,,55.88,0.02,,1.13,0.1,55.3,56.5
"(6,3)",2020-03-16,60.43,0.51,,0.7,0.2,13.72,1.01,,4.83,0.47,53.77,0.03,,0.71,0.1,53.3,54.3
"(6,3)",2020-03-16,,,,,,,,,,,55.82,0.01,,3.05,0.1,55.3,56.3
"(6,3)",2020-04-01,58.13,0.88,,1.4,0.47,11.52,1.7,,1.3,0.13,53.74,0.1,,0.82,0.25,53.1,54.3
"(6,3)",2020-04-01,,,,,,,,,,,55.92,0.01,,3.92,0.25,55.4,56.4
