line,dec,ra,dec_error,ra_error,vlsr_ms,vlsr_kms,S
"(5, 3)",290.9158956,14.51800069,7.74E-07,7.74E-07,57970.0103,57.97001025,0.3443
"(5, 3)",290.915926,14.51800888,1.65E-06,1.65E-06,56965.7152,56.96571523,0.024
"(6, 2)",290.9159003,14.51801042,2.23E-06,2.35E-06,53101.648,53.10164803,0.0344
"(6, 3)",290.9158939,14.51800111,7.10E-07,7.09E-07,62900.4339,62.90043388,0.7111
"(6, 3)",290.9159262,14.51800959,9.25E-07,1.00E-06,62681.6685,62.68166847,0.13
"(7, 4)",290.9158986,14.51800816,1.51E-06,1.51E-06,60463.5009,60.46350094,0.0114
"(7, 5)",290.9158982,14.51801105,7.28E-07,7.25E-07,59292.2984,59.29229837,1.381
"(7, 6)",290.9170759,14.5182317,9.59E-07,9.53E-07,31490.5298,31.4905298,0.0667
"(7, 6)",290.9170768,14.51823206,1.15E-06,1.15E-06,32707.8166,32.70781661,0.0616
"(7, 6)",290.9170765,14.51823124,9.35E-07,9.27E-07,47600.7591,47.60075913,0.091
"(7, 7)",290.9170797,14.51823187,2.50E-06,2.50E-06,47110.8178,47.11081782,0.0439
"(7, 7)",290.9170811,14.51823057,3.30E-06,3.30E-06,48754.5474,48.75454739,0.04
"(7, 7)",290.9170758,14.51823158,4.80E-07,4.80E-07,47110.8178,47.11081782,0.4908
"(7, 7)",290.917076,14.5182316,7.26E-07,7.26E-07,46422.9095,46.42290954,0.2042
"(8, 5)",290.9158985,14.51800926,1.03E-06,1.03E-06,60346.1693,60.34616932,0.0926
"(9, 8)",290.9158975,14.51800925,1.25E-06,1.25E-06,54123.0121,54.12301205,0.1305
"(11, 9)",290.9170756,14.51823135,7.16E-07,7.15E-07,46468.4964,46.46849643,0.3522
"(11, 9)",290.916824,14.51822272,1.82E-06,1.34E-06,60696.45,60.69645002,0.0834
"(11, 9)",290.9169891,14.51815923,3.27E-06,3.27E-06,59273.6547,59.27365466,0.0376
