ra,dec
290.9169638,14.51814655
290.9169665,14.51816598
290.9169666,14.51816589
290.916941,14.51815278
290.9169617,14.51815253
290.9169618,14.51815244
290.9169752,14.51816146
290.9169781,14.51815498
290.916977,14.51816143
290.9169768,14.51816345
290.916977,14.51816349
290.916977,14.51816118
290.9169781,14.51815508
290.9169771,14.51816342
290.9169412,14.51815081
290.9169639,14.51815823
290.9169646,14.51814571
290.9169784,14.51815452
290.9169534,14.51814795
290.9169772,14.51815389
290.9169601,14.51817467
290.9169602,14.51817469
290.9169723,14.51814572
290.9169771,14.51815297
290.9169353,14.51813784
290.9169724,14.51814568
290.9169473,14.51813423
290.9169778,14.51815271
290.9170552,14.51797817
290.9169724,14.5181456
290.9169711,14.51814513
290.9170552,14.51797831
290.9169329,14.51812391
290.9169729,14.51814596
290.9169727,14.51814569
290.9169725,14.51814565
290.9169577,14.51813117
290.9170512,14.51797267
290.9168129,14.51821509
290.9168115,14.51822261
290.9168236,14.51825523
290.9169659,14.51814416
290.9168114,14.51821127
290.9169726,14.51814547
290.9169635,14.51814281
290.916945,14.51817243
290.9168118,14.51821197
290.916812,14.51820966
290.9169675,14.51814469
290.9171462,14.51825844
290.9169742,14.51814623
290.9169646,14.51814483
290.9171224,14.51804923
290.9168373,14.5182767
290.9169697,14.51817521
290.917186,14.5183399
290.9169698,14.5181521
290.9168223,14.51829459
290.9168253,14.51824618
290.9168374,14.51827622
290.9168372,14.51827645
290.9168373,14.51827714
290.9171102,14.51798333
290.9168442,14.51828468
290.9168116,14.51825358
290.9167915,14.51796632
290.9159652,14.51818723
290.9159648,14.5181875
290.9169614,14.51816414
290.9169661,14.51817125
290.9168146,14.51826017
290.9171805,14.51834184
290.9169739,14.5181461
290.9168224,14.51825161
290.9171788,14.51834279
290.9168257,14.51824219
290.9171807,14.51834174
290.9168183,14.51825236
290.9171871,14.51832491
290.9168355,14.518257
290.9168296,14.51825972
290.9168257,14.51826553
290.9168196,14.5182433
290.9169361,14.51819059
290.9168187,14.51824906
290.9168181,14.51825408
290.9168256,14.51824292
290.9168258,14.51824379
290.9168172,14.51825433
290.9168294,14.51825958
290.9168277,14.5182598
290.9168184,14.51825429
290.9168223,14.51823042
290.916828,14.5182595
290.9168254,14.51824293
290.916816,14.51825229
290.9168255,14.51824251
290.9168197,14.51821716
290.9168211,14.51825248
290.9168221,14.51823068
290.9168197,14.51821714
290.9168221,14.51823103
290.9168192,14.51821556
290.9168197,14.51821695
290.9168191,14.51820941
290.916919,14.51814158
290.9168207,14.51821527
290.916819,14.518226
290.916818,14.51821226
290.916818,14.51821269
290.9168346,14.5182166
290.9168236,14.51821678
290.9168195,14.51821246
290.9168338,14.51821625
290.9168201,14.5182147
290.9168302,14.51821839
290.9168202,14.51821446
290.9168308,14.51821729
290.9168334,14.51821589
290.9168188,14.51821251
290.9168203,14.51821485
290.9168196,14.518213
290.9168201,14.51821248
