source,color,line,spw,channel,x_pix,y_pix,amplitude,amplitude_error,x_mean,x_mean_error,y_mean,y_mean_error,x_mean_sky,y_mean_sky,x_mean_pix,y_mean_pix,ra_hms,dec_dms,ra_hms_error,dec_dms_error,SkyCoord_pix,frame,header
CA3,tab:cyan,"(7,6)",6,50,344,415,2.204492833e-01,3.375278452e-02,2.90917073e+02,1.134828205e-06,1.451823570e+01,9.340259056e-07,290.917073,14.5182357,343.73118243902644,415.23238639022946,19:23:40.0975,14:31:05.6485,0:00:00.00027,0:00:00.00336,"(array(343.73118244), array(415.23238639))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
CA3,tab:cyan,"(7,6)",6,59,344,415,2.461656948e-01,3.925124575e-02,2.909170743e+02,1.319696178e-06,1.451823561e+01,1.086182396e-06,290.9170743,14.51823561,343.4075711671273,415.20924352850443,19:23:40.0978,14:31:05.6482,0:00:00.00032,0:00:00.00391,"(array(343.40757117), array(415.20924353))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
CA3,tab:cyan,"(7,6)",6,68,344,415,3.710561492e-01,4.055346004e-02,2.909170744e+02,1.481724445e-06,1.451823584e+01,1.506210782e-06,290.9170744,14.51823584,343.3826780016623,415.2683863852245,19:23:40.0979,14:31:05.6490,0:00:00.00036,0:00:00.00542,"(array(343.382678), array(415.26838639))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
CA3,tab:olive,"(7,7)",28,49,344,415,4.682912157e-02,1.17887095e-02,2.909170734e+02,1.926786139e-06,1.451823417e+01,1.760229043e-06,290.9170734,14.51823417,343.63160974799365,414.83895781449985,19:23:40.0976,14:31:05.6430,0:00:00.00046,0:00:00.00634,"(array(343.63160975), array(414.83895781))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
CA3,tab:olive,"(7,7)",28,59,344,415,5.744646277e-01,2.474447601e-02,2.909170728e+02,3.476696127e-07,1.451823554e+01,3.176160224e-07,290.9170728,14.51823554,343.78096878554095,415.19124352920375,19:23:40.0975,14:31:05.6479,0:00:00.00008,0:00:00.00114,"(array(343.78096879), array(415.19124353))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
CA3,tab:olive,"(7,7)",28,69,344,415,2.264670077e-01,1.441957088e-02,2.909170728e+02,5.020972329e-07,1.451823554e+01,4.586944620e-07,290.9170728,14.51823554,343.78096878554095,415.19124352920375,19:23:40.0975,14:31:05.6479,0:00:00.00012,0:00:00.00165,"(array(343.78096879), array(415.19124353))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
W51North,tab:pink,"(11,9)",41,52,407,413,8.305390278e-02,1.507809804e-02,2.909168208e+02,1.451398148e-06,1.451822744e+01,1.325934997e-06,290.9168208,14.51822744,406.51177120705034,413.1084213010605,19:23:40.0370,14:31:05.6188,0:00:00.00035,0:00:00.00477,"(array(406.51177121), array(413.1084213))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
W51North,tab:pink,"(11,9)",41,55,365,397,4.051070365e-02,1.439860703e-02,2.909169855e+02,2.847270864e-06,1.451816444e+01,2.601144345e-06,290.9169855,14.51816444,365.5127173368488,396.9083906461581,19:23:40.0765,14:31:05.3920,0:00:00.00068,0:00:00.00936,"(array(365.51271734), array(396.90839065))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
CA3,tab:pink,"(11,9)",41,114,344,415,3.824626686e-01,4.013656465e-02,2.909170726e+02,7.840065103e-07,1.451823542e+01,7.162346671e-07,290.9170726,14.51823542,343.8307551446528,415.1603863857155,19:23:40.0974,14:31:05.6475,0:00:00.00019,0:00:00.00258,"(array(343.83075514), array(415.16038639))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
d2,tab:blue,"(5,3)",44,74,638,356,4.225162857e-01,5.035620288e-02,2.909158922e+02,8.883016120e-07,1.451800503e+01,8.115141917e-07,290.9158922,14.51800503,637.6700951251688,355.9180041150346,19:23:39.8141,14:31:04.8181,0:00:00.00021,0:00:00.00292,"(array(637.67009513), array(355.91800412))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
d2,tab:blue,"(5,3)",44,83,630,358,7.884919624e-02,1.634434032e-02,2.909159220e+02,1.511516291e-06,1.451801323e+01,1.380856350e-06,290.915922,14.51801323,630.2519107127431,358.0265376702962,19:23:39.8213,14:31:04.8476,0:00:00.00036,0:00:00.00497,"(array(630.25191071), array(358.02653767))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
d2,tab:orange,"(6,2)",50,79,637,359,3.246163247e-02,1.104642695e-02,2.909158969e+02,2.031904039e-06,1.451801548e+01,2.031904038e-06,290.9158969,14.51801548,636.5001008497902,358.6051409360873,19:23:39.8153,14:31:04.8557,0:00:00.00049,0:00:00.00731,"(array(636.50010085), array(358.60514094))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
d2,tab:green,"(6,3)",56,271,638,356,6.714095506e-01,1.037741739e-01,2.909158918e+02,9.088331601e-07,1.451800570e+01,7.994728594e-07,290.9158918,14.5180057,637.7696670289309,356.0902903483643,19:23:39.8140,14:31:04.8205,0:00:00.00022,0:00:00.00288,"(array(637.76966703), array(356.09029035))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707399926 14.51823448245 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
