line,x_pix,y_pix,S,freq0,linewidth,S_err,freq0_err,linewidth_err,vlsr_ms,vlsr_kms,vlsr_ms_err,vlsr_kms_err,linewidth_ms,linewidth_kms,linewidth_ms_err,linewidth_kms_err,fwhm_kms,fwhm_kms_err,source,color,line,spw,channel,x_pix,y_pix,amplitude,amplitude_error,x_mean,x_mean_error,y_mean,y_mean_error,x_mean_sky,y_mean_sky,x_mean_pix,y_mean_pix,ra_hms,dec_dms,ra_hms_error,dec_dms_error,SkyCoord_pix,frame,header
"(7,6)",344,415,0.3639976861443857,22.921290795358924,3.153662827002306e-05,0.005829244996244277,6.262044999429749e-07,6.543782865066498e-07,47721.12943775985,47.721129437759856,8.188958673329802,0.008188958673329801,412.40863906743056,0.4124086390674306,8.557390988750976,0.008557390988750977,0.9711481300199193,0.020151115833478013,CA3,tab:cyan,"(7,6)",6,50,344,415,0.2204492832,0.03375278452,290.917073,1.134828205e-06,14.51823576,9.340259059e-07,290.917073,14.51823576,343.72575074172033,415.23228584032495,19:23:40.0975,14:31:05.6487,0:00:00.00027,0:00:00.00336,"(array(343.72575074), array(415.23228584))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(7,6)",344,415,0.25367877147984996,22.9211531089038,4.044047237391231e-05,0.005314180551654295,1.018449535076211e-06,1.187858443558853e-06,49521.67333517328,49.521673335173276,13.318398629154734,0.013318398629154734,528.845380430931,0.528845380430931,15.533781224751857,0.015533781224751858,1.2453357025607743,0.03657925940317109,CA3,tab:cyan,"(7,6)",6,59,344,415,0.2461656947,0.03925124574,290.9170743,1.319696179e-06,14.51823567,1.086182396e-06,290.9170743,14.51823567,343.4021394695663,415.2091429837294,19:23:40.0978,14:31:05.6484,0:00:00.00032,0:00:00.00391,"(array(343.40213947), array(415.20914298))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(7,6)",344,415,0.23459319803215536,22.92100643826884,3.210974732850263e-05,0.0057754748828087905,9.490849977867292e-07,9.86276075943252e-07,51439.70453484243,51.43970453484243,12.411309444535433,0.012411309444535433,419.9033924350833,0.4199033924350833,12.897662069066362,0.012897662069066363,0.9887969254826312,0.030371673174272817,CA3,tab:cyan,"(7,6)",6,68,344,415,0.3710561491,0.04055346005,290.9170744,1.481724446e-06,14.5182359,1.506210782e-06,290.9170744,14.5182359,343.3772463034867,415.2682858394046,19:23:40.0979,14:31:05.6492,0:00:00.00036,0:00:00.00542,"(array(343.3772463), array(415.26828584))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(7,7)",344,415,0.04186244508963012,25.710927349754957,6.306156776310363e-05,0.0048528677322516745,9.174856398222505e-06,1.0179207950474615e-05,49601.51769064858,49.60151769064858,106.96221210567951,0.10696221210567951,735.1836905153696,0.7351836905153696,118.67113256153222,0.11867113256153222,1.731225291205422,0.27944916172242107,CA3,tab:olive,"(7,7)",28,49,344,415,0.04682912157,0.0117887095,290.9170734,1.92678614e-06,14.51823423,1.760229043e-06,290.9170734,14.51823423,343.6261780477444,414.838857275042,19:23:40.0976,14:31:05.6432,0:00:00.00046,0:00:00.00634,"(array(343.62617805), array(414.83885728))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(7,7)",344,415,0.5522060879968882,25.711087096143288,2.9647106532429534e-05,0.007140325630701331,5.529165345602501e-07,5.878156750238303e-07,47739.164065685385,47.73916406568539,6.446005591741849,0.0064460055917418485,345.6315782616241,0.3456315782616241,6.852866375447909,0.006852866375447909,0.8139001686861558,0.016137267106823325,CA3,tab:olive,"(7,7)",28,59,344,415,0.5744646276,0.02474447602,290.9170728,3.476696128e-07,14.5182356,3.176160224e-07,290.9170728,14.5182356,343.77553708728567,415.19114298478434,19:23:40.0975,14:31:05.6482,0:00:00.00008,0:00:00.00114,"(array(343.77553709), array(415.19114298))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(7,7)",344,415,0.22768572935556713,25.711216635633598,5.0994641470917854e-05,0.0054204558429598055,1.7046276487142723e-06,1.8802424814644841e-06,46228.96817409197,46.22896817409197,19.872871706014454,0.019872871706014456,594.5051803014733,0.5945051803014733,21.920222658904656,0.021920222658904656,1.399952715448648,0.0516181797087303,CA3,tab:olive,"(7,7)",28,69,344,415,0.2264670077,0.01441957088,290.9170728,5.02097233e-07,14.5182356,4.586944621e-07,290.9170728,14.5182356,343.77553708728567,415.19114298478434,19:23:40.0975,14:31:05.6482,0:00:00.00012,0:00:00.00165,"(array(343.77553709), array(415.19114298))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(11,9)",407,413,0.08339627593595066,21.066419929364343,1.9272867188905267e-05,0.0049815924074834445,1.329404007591096e-06,1.3292483288035665e-06,61451.32366448975,61.45132366448975,18.914632994637035,0.018914632994637037,274.21250992997733,0.2742125099299773,18.912418011746688,0.018912418011746687,0.6457211149813589,0.04453534103406547,W51North,tab:pink,"(11,9)",41,52,407,413,0.0830539028,0.01507809803,290.9168208,1.451398148e-06,14.5182275,1.325934997e-06,290.9168208,14.5182275,406.50633949250266,413.10832074776147,19:23:40.0370,14:31:05.6190,0:00:00.00035,0:00:00.00477,"(array(406.50633949), array(413.10832075))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(11,9)",365,397,0.03761208672977719,21.066455923538523,2.317748280902211e-05,0.0045646685277264554,3.247970152637966e-06,3.2478966567585506e-06,60939.201998938996,60.939201998939,46.21180849755535,0.04621180849755535,329.7670072971566,0.32976700729715663,46.21076280521667,0.04621076280521667,0.7765419589732118,0.10881803054989483,W51North,tab:pink,"(11,9)",41,55,365,397,0.04051070368,0.01439860703,290.9169855,2.847270866e-06,14.5181645,2.601144345e-06,290.9169855,14.5181645,365.5072856285952,396.90829010523464,19:23:40.0765,14:31:05.3922,0:00:00.00068,0:00:00.00936,"(array(365.50728563), array(396.90829011))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(11,9)",344,415,0.41649612108858397,21.067399222408536,2.931614259808703e-05,0.005974531667981869,4.85592311693522e-07,4.855853505978345e-07,47518.035951098136,47.518035951098135,6.908960939077795,0.006908960939077794,417.1072712997402,0.4171072712997402,6.908861897274537,0.006908861897274537,0.9822125633847907,0.016269126484052633,CA3,tab:pink,"(11,9)",41,114,344,415,0.3824626686,0.04013656468,290.9170726,7.840065107e-07,14.51823548,7.162346674e-07,290.9170726,14.51823548,343.82532344901296,415.1602858464885,19:23:40.0974,14:31:05.6477,0:00:00.00019,0:00:00.00258,"(array(343.82532345), array(415.16028585))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
"(5,3)",638,356,0.4584794266253375,21.28126417198039,1.7650548770643204e-05,0.005650551100599555,2.5130156145948195e-07,2.5106020877117843e-07,56490.507668515995,56.490507668515995,3.539456869087957,0.0035394568690879573,248.5991560362741,0.2485991560362741,3.536057537123892,0.0035360575371238922,0.585406275811995,0.008326779168802112,d2,tab:blue,"(5,3)",44,74,638,356,0.4225162858,0.05035620293,290.9158921,8.88301612e-07,14.51800509,8.115141923e-07,290.9158921,14.51800509,637.6895565360996,355.9179036746499,19:23:39.8141,14:31:04.8183,0:00:00.00021,0:00:00.00292,"(array(637.68955654), array(355.91790367))",icrs,"WCS Keywords

Number of WCS axes: 2
CTYPE : 'RA---SIN' 'DEC--SIN' 
CRVAL : 290.91707397744 14.518234542841 
CRPIX : 344.4824349 415.9193021 
PC1_1 PC1_2  : 1.0 0.0 
PC2_1 PC2_2  : 0.0 1.0 
CDELT : -3.888888888889e-06 3.888888888889e-06 
NAXIS : 800  800"
